OTU ID	CCN1	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN16	CCN17	CCN18	CCN19	CCN2	CCN20	CCN3	CCN4	CCN5	CCN6	CCN7	CCN8a	CCN9	CCP1	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP2	CCP20a	CCP3	CCP4	CCP5	CCP6a	CCP7	CCP8	CCP9
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	492.0	0.0	42.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	233.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0.0	0.0	0.0	71.0	0.0	0.0	0.0	45.0	1020.0	81.0	0.0	675.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	202.0	913.0	0.0	36.0	0.0	0.0	69.0	92.0	0.0	59.0	349.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	790.0	0.0	334.0	392.0	85.0	96.0	80.0	14.0	4881.0	25.0	8175.0	22.0	253.0	51.0	408.0	30.0	13.0	68.0	21.0	1253.0	560.0	0.0	0.0	10.0	16.0	8.0	242.0	0.0	0.0	758.0	440.0	0.0	2801.0	140.0	7.0	7999.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae;g__TM7x	0.0	7.0	0.0	0.0	76.0	0.0	0.0	162.0	83.0	21.0	8.0	0.0	5.0	0.0	30.0	137.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	61.0	0.0	6.0	0.0	3.0	0.0	0.0	77.0	0.0	0.0	75.0	0.0	1803.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	838.0	103.0	23257.0	57855.0	275.0	19185.0	17004.0	4409.0	5659.0	35309.0	368.0	18.0	7329.0	23314.0	2646.0	118179.0	106140.0	49838.0	19755.0	510.0	30504.0	393.0	8262.0	1891.0	165.0	8219.0	6740.0	6641.0	8071.0	2221.0	5413.0	238.0	5416.0	8666.0	7349.0	24373.0	1067.0	471.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0.0	0.0	0.0	0.0	86.0	31.0	0.0	55.0	122.0	43.0	0.0	567.0	11.0	135.0	59.0	162.0	0.0	0.0	0.0	0.0	28.0	0.0	11.0	0.0	75.0	0.0	0.0	0.0	23.0	99.0	303.0	88.0	23.0	0.0	32.0	0.0	185.0	80.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenellaceae_R-7_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4053.0	0.0	955.0	229.0	0.0	51.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	286.0	0.0	997.0	0.0	0.0	637.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	2615.0	5427.0	447.0	7.0	71.0	11730.0	3397.0	11.0	6.0	86.0	21.0	47.0	0.0	22295.0	13689.0	317.0	114.0	2018.0	23438.0	2079.0	438.0	2160.0	5300.0	166.0	6052.0	47.0	4826.0	272.0	34.0	22.0	0.0	2406.0	16725.0	200.0	42923.0	24227.0	32578.0	5239.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	171.0	125.0	0.0	0.0	0.0	0.0	0.0	2790.0	6007.0	3417.0	268.0	143.0	2167.0	0.0	0.0	0.0	0.0	369.0	0.0	116.0	0.0	477.0	1012.0	0.0	1414.0	0.0	0.0	118.0	1078.0	0.0	2042.0	231.0	0.0	668.0	3353.0	0.0	371.0	0.0
