OTU ID	CCN1	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN16	CCN17	CCN18	CCN19	CCN2	CCN20	CCN3	CCN4	CCN5	CCN6	CCN7	CCN8a	CCN9	CCP1	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP18	CCP19	CCP2	CCP20a	CCP3	CCP4	CCP5	CCP6a	CCP7	CCP8	CCP9
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	790.0	0.0	334.0	392.0	85.0	96.0	80.0	14.0	4881.0	25.0	8175.0	22.0	253.0	51.0	408.0	30.0	13.0	68.0	21.0	1253.0	560.0	0.0	0.0	10.0	16.0	8.0	242.0	0.0	0.0	758.0	440.0	0.0	2801.0	140.0	7.0	7999.0	0.0	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Saccharimonadaceae	0.0	7.0	0.0	0.0	76.0	0.0	0.0	507.0	83.0	21.0	8.0	0.0	5.0	0.0	30.0	150.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	61.0	0.0	6.0	0.0	3.0	0.0	0.0	82.0	0.0	0.0	75.0	0.0	1809.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae	0.0	0.0	0.0	0.0	86.0	31.0	0.0	55.0	122.0	43.0	0.0	575.0	11.0	135.0	59.0	162.0	0.0	0.0	0.0	0.0	28.0	0.0	11.0	0.0	75.0	0.0	0.0	0.0	23.0	99.0	351.0	88.0	23.0	0.0	32.0	0.0	185.0	80.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__Christensenellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4063.0	19.0	955.0	229.0	14.0	74.0	0.0	10.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	286.0	0.0	1055.0	0.0	0.0	637.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae	2615.0	5515.0	447.0	7.0	71.0	11886.0	3522.0	11.0	334.0	2557.0	44.0	58.0	0.0	22295.0	13886.0	415.0	114.0	3359.0	23438.0	2079.0	441.0	3472.0	5300.0	166.0	6442.0	49.0	4863.0	285.0	906.0	3802.0	1104.0	2752.0	17224.0	249.0	43753.0	24257.0	32703.0	5239.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014	0.0	20.0	0.0	0.0	0.0	0.0	0.0	2804.0	0.0	3094.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	478.0	0.0	327.0	132.0	0.0	0.0	10.0	0.0	29.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	0.0	388.0	0.0	0.0	0.0	0.0	230.0	10.0	17.0	3727.0	0.0	13.0	270.0	0.0	165.0	0.0	0.0	102.0	0.0	0.0	0.0	188.0	46.0	0.0	116.0	24.0	254.0	0.0	547.0	108.0	179.0	1023.0	836.0	0.0	216.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	2625.0	121.0	0.0	0.0	249.0	293.0	0.0	25375.0	4499.0	2382.0	5384.0	722.0	2468.0	13669.0	1284.0	1034.0	0.0	5.0	0.0	1504.0	146.0	1131.0	2945.0	0.0	3783.0	38.0	323.0	710.0	229.0	1246.0	1192.0	686.0	20.0	241.0	4387.0	462.0	97.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	1424.0	6487.0	235.0	47.0	3997.0	12967.0	396.0	2722.0	18939.0	660.0	1514.0	8210.0	3667.0	21927.0	6054.0	2806.0	130.0	70.0	806.0	1665.0	17282.0	4208.0	2917.0	1912.0	1925.0	2787.0	3264.0	1000.0	190.0	682.0	149.0	529.0	2354.0	999.0	12041.0	56.0	8364.0	10018.0
