OTU ID	CCN1	CCN2	CCN3	CCN4	CCN5	CCP1	CCP2	CCP3	CCP8	CCP18	CCN6	CCN7	CCN8a	CCN9	CCN10a	CCN11	CCN12	CCN13	CCN14	CCN15	CCN16	CCN17	CCN18	CCN19	CCN20	CCP4	CCP5	CCP6a	CCP7	CCP9	CCP10	CCP12	CCP13	CCP14	CCP15	CCP16	CCP17	CCP19	CCP20a
Lysine	2.583328244	88.5630587	130.9302953	0.330514968	60.66669912	205.1911399	38.2689537	49.31724554	22.17516219	40.65844873	462.2484385	78.51611864	0.778045138	0	1.160977883	544.8763001	472.8487446	43.91061096	97.92744692	26.65333209	51.28891552	230.6185507	44.74313882	589.2049216	196.7676519	11.99353576	264.5860005	94.96611761	51.22752464	0.89509999	12.77055132	24.68592362	74.16843837	0	1.461529766	0	27.90010825	51.23141299	158.0673202
Malate	18.99229438	73.30423514	5673.177328	0	3938.95814	532.2366614	2140.959865	1609.380619	284.776657	332.603826	2801.34462	15235.15554	35417.58232	13775.83816	1587.478888	18803.63012	5507.392032	45260.90109	3111.33401	4140.020774	7325.824754	53946.56379	29906.4929	11395.0333	44855.46641	3292.567202	100583.8614	18862.9464	5073.919047	2464.000072	32934.64875	150328.358	6198.195953	92225.60508	9064.297534	37649.89478	97372.92805	3755.565138	17035.50198
N-Acetylglucosamine	0	0	175.1283115	103.6148424	9.155973606	0	849.6308909	38.76306191	0	2.581545261	0.763525089	0.906392501	0	0	9.236853283	4124.124522	2040.168181	2898.075645	479.560363	2161.32236	1170.741453	367.7642362	69.8295801	3899.185903	1364.069239	114.4892045	532.1521342	38.48103864	58.87298443	0	21.62573236	571.8341956	113.6341493	671.5124673	12.55796354	0.757785929	1.89563964	0	83.27293334
N-Acetylglutamate	1975.709418	428.9688576	862.1368503	462.0650112	0	29.32409316	3205.370386	15.57317069	0	0	763.8123373	661.1239598	4907.888865	31136.80457	804.0360392	4129.074655	166.3155982	12877.37744	12403.01358	26504.80419	9210.382545	63741.23498	24261.30473	2699.411341	2337.153762	7416.705763	39174.68231	3870.968401	15171.71274	9494.190763	14372.99572	135628.2399	700.6769013	30676.68045	1068.27903	643.8769488	7204.664368	927.8969965	11079.42012
N-Acetylornithine	0	29.89545541	208.3457869	0	49.91150765	128.911207	14.86944378	47.19336512	8.401446599	0	346.147824	535.4405127	320.375033	73.01827529	49.60750835	2774.772407	681.5078313	1022.827583	233.6110697	408.4155892	520.9024893	2628.378069	295.4543295	1939.017463	534.9753701	118.2708949	2795.040874	397.9417582	448.4466992	148.0292265	637.6260441	464.1997623	102.8451522	411.301576	134.4209973	301.8634573	1095.792168	98.66834282	164.7629348
Ornithine	3.037741786	75.95573593	187.7977793	0	14.62479359	206.9514006	1.029506862	49.80743507	3.199858187	9.206220685	279.1899909	14.71300757	123.6100712	0	38.38022461	2019.642217	782.5422121	488.6198847	39.37790829	26.83234502	404.421386	2835.748007	1466.924093	1288.735555	322.3824409	105.1822169	4314.482282	180.2613494	48.21288557	13.43869692	4706.267993	3580.436177	154.9290974	20.38962319	39.66134807	70.85928077	357.6256477	127.2140028	521.6903538
Orotate	307.7053465	182.2765683	327.6904481	87.52297701	15.24311068	19.80999179	1.812853452	17.54416864	0.20071337	0.497035653	513.9140422	208.8953672	1163.942129	66.55519853	0	360.1900727	75.70577393	2902.198329	418.1600771	180.7326131	1108.405651	6486.967733	453.543554	304.0565034	1264.716474	194.165253	9967.596261	288.2748241	142.3169893	419.9829112	5498.432579	4592.908425	7.614054213	9717.704166	2.620477765	5.856264206	2854.375769	2.330862599	356.7614211
Phenylalanine	215.7165852	1877.563779	3380.979887	0	1480.778239	2779.618074	229.985486	4237.517032	2427.355708	326.2390868	11802.52066	17975.25622	13144.11725	4686.665235	926.2507087	58950.43939	16521.85209	10198.11122	6021.20801	7496.161497	8489.339665	22371.99127	6192.06311	39805.46505	5085.658039	11067.56037	23089.1074	17232.52626	867.6620659	8000.58338	46437.94901	14336.2351	17385.8336	8452.00931	7340.127631	13571.466	79519.36725	7322.4023	3577.70251
Phenylpyruvate	13.78885697	24.20960915	113.7689861	0	0.507254758	0	0	159.2326969	9.110753321	0	239.9724594	2779.914659	2033.273642	649.7831727	34.32131174	1069.88941	1588.672657	2065.73005	769.4823339	1721.259957	3428.895901	23043.72978	9750.586551	1083.623746	260.4155142	428.8610178	1024.365507	547.4452851	293.9440257	395.96303	885.8163671	6525.561339	158.4554093	1402.035122	209.2994786	388.9762051	4441.225364	504.084365	630.0042415
Proline	0	273.09245	194.0828494	0	122.1173231	430.6237465	337.5213167	0	68.99565342	47.25450081	1166.175831	407.2212829	442.3576437	2.265675363	139.4589569	1721.845793	1227.448364	686.5063657	1941.253822	352.1698501	1527.615824	2976.532326	1488.923146	1214.912238	1061.444652	304.978889	1247.795463	1841.026184	145.0559825	0	2179.935573	1432.050094	1797.099891	504.7140986	47.67725566	361.4143472	1680.408441	161.7122327	512.7721269
Serine	0	27.75020857	180.4584124	0	52.05788867	179.7077116	51.18761674	37.2155381	3.319828999	13.82034147	375.757534	919.5702291	0	0	35.84985681	1510.911188	910.9216895	1375.402686	334.2988671	411.3514225	125.2582787	1097.090499	42.9362446	1249.151758	1140.768189	24.39625748	569.822735	608.6285495	1.254573674	85.8976017	378.6810523	280.4996047	51.7981068	365.1948559	8.950798217	29.32983634	151.7546725	1.690531054	115.0012261
Succinate-Methylmalonate	3217.124209	1711.231327	1190.531343	0	5558.631173	6362.380604	11696.41209	5880.478437	6981.023087	6731.914096	26799.18048	77259.162	23654.7502	4990.494081	9660.629869	75703.37219	351.350836	75962.92387	8152.668154	12974.07158	1923.597153	3449.898746	7682.3357	59126.3823	1648.459829	3393.93078	5193.249228	12152.9893	15900.24083	2513.482276	66261.25375	8540.2316	61771.39679	32953.67804	21590.691	1524.90609	40356.85864	19920.94703	1967.46812
Taurine	180.0033999	15.89588407	13.87796202	88.67192827	694.3021576	580.2896163	305.4820265	103.3881931	75.98874007	471.6222511	8989.156737	5484.931658	311.9458774	5.491817828	1852.416355	11120.37691	4807.411492	10985.72426	3057.724144	4198.763836	61.26138619	106.379229	148.6600313	6711.853354	2117.137398	1585.325034	700.8871074	2915.078434	1115.658148	2214.305194	17034.38782	11.83299702	5530.31093	25566.54505	732.7600402	4078.382719	7941.522473	106.3910445	1476.743039
Thymine	0	310.3935456	920.2688052	12.44323934	86.89628793	0	0	0	0	0.049737852	664.2185794	332.8939848	149.3698019	108.3954348	3.608089627	3541.976496	1840.160638	986.4772482	114.5827565	1064.03917	1621.507421	12311.2268	3471.564785	2613.256403	2138.628119	394.1919673	4460.95385	919.6315646	207.6226994	285.242352	2852.170578	3697.0049	80.09155576	1760.784447	248.0336081	3.012161812	2242.275875	110.0136603	441.5616306
Tryptophan	7.898023071	104.7805924	247.8605849	9.811292204	86.40461109	0	350.988757	88.93292027	0	0	23713.86549	4303.659033	20121.13744	12537.13803	1380.098102	47326.69932	11448.82998	21580.51246	8091.219915	9368.701746	9344.443781	8259.735017	6440.773079	41086.59683	22641.21654	5242.411455	21348.46955	48091.82679	2154.753905	6426.440914	49417.18553	12017.74885	403.4124386	1728.54883	5365.915415	7312.844903	30060.67868	1511.054283	5363.647611
Tyrosine	110.8040447	326.0134335	2606.221367	96.71494905	951.3713214	1876.562899	237.9950721	1832.450853	1209.189209	237.673743	31205.98358	28445.6605	12149.14533	15591.9847	1010.942733	25040.60727	5377.677241	21057.93546	5733.50968	12161.0427	12893.39585	62939.85	8171.289527	14864.17138	10574.7316	4611.383729	44021.7686	37611.51578	1283.29316	10369.04192	55826.64392	32681.93157	4770.420799	13861.17655	5446.973041	17160.00485	52953.04613	5443.376625	6517.214321
Uracil	37.96784229	1831.77293	1002.93952	0	91.7123712	312.5861651	363.3514388	228.8891108	0	29.32801969	98.48021948	173.9049666	237.2134589	136.9711197	2.258349165	3851.699664	1430.259946	1213.926014	74.21416894	718.0333	1563.394045	6649.042216	2297.612044	2808.657831	2418.168543	224.9352047	3064.418169	57.37041832	74.41595342	127.416079	1168.917654	4043.965306	173.4055435	869.5495631	31.44065187	130.1479367	215.7649571	142.249096	513.9162759
Uric-acid	0	916.8459361	0	4814.816094	993.3352484	2734.330992	10.76617097	0	0	26.03101675	8779.619888	9148.399358	3379.283513	2466.483956	259.2332395	131.1862978	1257.063493	797.5836823	20591.62811	33.88321151	3486.505446	3643.955341	5784.958717	88.44594991	338.2544932	9695.491494	504.5931003	17498.21333	186.1556343	7307.502758	63188.89738	1875.795453	20.55947094	63913.87222	56.14891068	4296.469244	40338.83822	577.6753637	10285.28411
Valine	114.3688075	733.9347439	1270.347846	50.12858567	638.8844361	0	0	0	597.2931574	244.9660922	3836.315135	2035.740573	1875.091845	557.0075442	225.6053284	9344.186937	3620.776546	3482.520353	3182.346385	1576.473817	4463.240894	12763.39832	5097.442136	6716.515088	3438.435235	1875.464038	7550.37498	3418.033882	582.1142418	1002.917256	6009.87849	6490.988884	3208.443838	3359.423172	1336.293033	1555.99723	6035.559512	2149.425507	2155.448648
